"Data","UKX","CAC","DAX","SPX","IBOV"
2014-01-03,0.215718379042161,0.196684404420794,0.164961113385182,0.196684404420794,0.225951698731068
2014-01-10,0.15679463741621,0.188909201706277,0.221023765996344,0.230469226081658,0.202803168799512
2014-01-17,0.205657022252505,0.184883585661343,0.191115616638692,0.168264836388413,0.250078939059046
2014-01-24,0.21195652173913,0.191576086956522,0.1875,0.222146739130435,0.186820652173913
2014-01-31,0.260933372468447,0.202356492934714,0.204131549890282,0.161530182956658,0.171048401749899
2014-02-07,0.241364232619152,0.178399650196764,0.20113686051596,0.216878006121557,0.162221250546568
2014-02-14,0.185284929440913,0.213077668857051,0.208445545621028,0.171388559732845,0.221803296348163
2014-02-21,0.212664440051803,0.203803421716311,0.166144093790471,0.194942403380819,0.222445641060596
2014-02-28,0.185875642718665,0.171152819533028,0.18403528982046,0.226363406479166,0.232572841448681
2014-03-07,0.190889370932755,0.184924078091106,0.204808387563268,0.194866232827187,0.224511930585683
2014-03-14,0.153015124729916,0.19593400117855,0.223924572775486,0.186603810646238,0.240522490669809
2014-03-21,0.17053605861936,0.186039336675665,0.201542614731971,0.220491065689677,0.221390924283327
2014-03-28,0.188958343274324,0.20613637448108,0.210430882282769,0.188958343274324,0.205516056687503
2014-04-04,0.218244661152944,0.197259597580546,0.169979014936428,0.197259597580546,0.217257128749537
2014-04-11,0.214511633733129,0.201640935709141,0.178044655998497,0.201640935709141,0.204161838850092
2014-04-18,0.15162962962963,0.178888888888889,0.202740740740741,0.228296296296296,0.238444444444444
2014-04-25,0.217715936739659,0.198692214111922,0.164872262773723,0.188123479318735,0.230596107055961
2014-05-02,0.190247506464721,0.181012190616919,0.195788695973402,0.199482822312523,0.233468784632434
2014-05-09,0.214345804737658,0.197697586893956,0.178968341819792,0.199778614124419,0.209209652424175
2014-05-16,0.203575645134087,0.191600607185023,0.195592286501377,0.199583965817732,0.209647495361781
2014-05-23,0.201901167260781,0.195904102886699,0.209897253092892,0.201901167260781,0.190396309498847
2014-05-30,0.205769230769231,0.184615384615385,0.161538461538462,0.192307692307692,0.255769230769231
2014-06-06,0.196810963958622,0.185346247611517,0.183435461553667,0.19298939184292,0.241417935033274
2014-06-13,0.21079604578564,0.186108220603538,0.189906347554631,0.191805411030177,0.221383975026015
